Instance,Runtime,K,Optimal_Value
1,0.0010018348693847656,78,0.9853773589874754
2,0.0,77,0.9848105424296119
3,0.0009975433349609375,80,0.9840744832386501
4,0.0010008811950683594,76,0.9865397378002434
5,0.0,75,0.9860813070157795
6,0.0010008811950683594,76,0.9839991844910456
7,0.00099945068359375,77,0.98540957952672
8,0.0009992122650146484,92,0.9839162270385425
9,0.0013899803161621094,72,0.9834720803134708
10,0.0,74,0.9864121088269929
11,0.0009963512420654297,82,0.9863670643430272
12,0.0,62,0.984273765444545
13,0.0011031627655029297,78,0.985605521504509
14,0.0,69,0.9824369249628131
15,0.0009746551513671875,70,0.9825146879516959
16,0.0,75,0.9850322880654324
17,0.0010902881622314453,68,0.9842478546413124
18,0.0,75,0.9837911666273959
19,0.0010008811950683594,78,0.9856635089364622
20,0.0009706020355224609,78,0.9859342041620115
21,0.0,68,0.9837223048971119
22,0.0010318756103515625,70,0.9843400265644291
23,0.0,74,0.984003285439905
24,0.0009152889251708984,89,0.9848227699965808
25,0.0009953975677490234,77,0.9836370493222666
26,0.0,79,0.9855695377000171
27,0.0011148452758789062,68,0.9849201663446148
28,0.0,75,0.9839991809807809
29,0.0,74,0.9842036042589868
30,0.0,79,0.9845442695297922
31,0.0,74,0.9854351354744016
32,0.0,79,0.9860229232533743
33,0.006480216979980469,76,0.9847232732555516
34,0.0013728141784667969,76,0.9849008762027801
35,0.0010085105895996094,76,0.9840864232625459
36,0.0,79,0.9842530624510221
37,0.0,74,0.9858045829255647
38,0.0,77,0.9835450833862375
39,0.0,73,0.9855200948189234
40,0.0,74,0.9851215680863993
41,0.0,76,0.9847948567327272
42,0.0,78,0.984649020827134
43,0.0,81,0.9842958696617577
44,0.0,75,0.984391012523383
45,0.0,76,0.9861843594333471
46,0.0,77,0.9864223435409295
47,0.014414548873901367,66,0.9849230332887009
48,0.0,86,0.9848452989798735
49,0.0,82,0.9849852213319545
50,0.0,77,0.9847559053715697
51,0.0,81,0.9848180266514961
52,0.0,85,0.9846062527277721
53,0.0,78,0.9852620234744632
54,0.0,76,0.9851591727528265
55,0.0,71,0.9840276144162752
56,0.0,79,0.984692047651653
57,0.0,76,0.9840751065450699
58,0.0,81,0.9840990724373416
59,0.0,85,0.983755512247359
60,0.0,79,0.9836597727053783
61,0.0,75,0.9848982095249286
62,0.0,75,0.9828192325951458
63,0.0,73,0.9844154063479587
64,0.0,73,0.985008716673232
65,0.0,85,0.9844670162794589
66,0.0,78,0.9833150208440111
67,0.0,80,0.9841870992598168
68,0.0,72,0.9830151931230072
69,0.0,71,0.985023345327564
70,0.0,84,0.9877470302334201
71,0.01554560661315918,73,0.9852184976493621
72,0.0011639595031738281,85,0.9865698455671447
73,0.0,77,0.9837667155577758
74,0.0,82,0.984898381906407
75,0.0,84,0.9850949874909505
76,0.0,74,0.9838798433640773
77,0.0,78,0.9856955117195395
78,0.0,73,0.9843936319118792
79,0.0,74,0.9839382782392515
80,0.0,84,0.9845186205675229
81,0.0,78,0.9848520073318554
82,0.0,84,0.9849385505736301
83,0.0,79,0.9859794318268081
84,0.0,71,0.9840435984558745
85,0.0,69,0.9839391282093354
86,0.0,78,0.9849327608782941
87,0.0,81,0.9838604764487441
88,0.0,62,0.985146717361291
89,0.0,75,0.9844619082216978
90,0.0,71,0.9856615645893411
91,0.0,82,0.9860689570018093
92,0.0,75,0.9835334050742873
93,0.0,80,0.9845427582610509
94,0.0,74,0.9832800540098678
95,0.015796422958374023,76,0.9847164322064729
96,0.0009591579437255859,79,0.9853234816028186
97,0.0,81,0.9848236706276241
98,0.0,74,0.9851452256736126
99,0.0,70,0.9846308524878079
100,0.0,80,0.9861693771936247
