Instance,Runtime,Dual_Bound,Primal_Bound,Lambdas,Optimal_Lambda,Optimal_Value
1,0.0,"[0.9895731856680567, 0.9873211922604351, 0.9863215742091581, 0.985848010972887, 0.9856115431977571, 0.9854942220561052, 0.9854355614852783, 0.985406337648465]","[0.9845292299754305, 0.9852792640167843, 0.9853574064907805, 0.9853744546462606, 0.9853769009144524, 0.9853769009144524, 0.9853769009144524, 0.9853773589874757]","[9.996442372804174e-05, 4.998221186402087e-05, 2.4991105932010436e-05, 1.2495552966005218e-05, 6.247776483002609e-06, 3.1238882415013045e-06, 1.5619441207506522e-06, 7.809720603753261e-07]",7.809720603753261e-07,0.9853773589874757
2,0.005000114440917969,"[0.9888953976096537, 0.9867019947296273, 0.9857233125193332, 0.9852603018916133, 0.985034784699297, 0.9849226511070123, 0.9848665843108697, 0.9848385509127985]","[0.9839030285001263, 0.9847061163475502, 0.9847643130349271, 0.9848078254831566, 0.9848105175147274, 0.9848105175147274, 0.9848105175147274, 0.9848105175147274]","[9.998757458516832e-05, 4.999378729258416e-05, 2.499689364629208e-05, 1.249844682314604e-05, 6.24922341157302e-06, 3.12461170578651e-06, 1.562305852893255e-06, 7.811529264466275e-07]",7.811529264466275e-07,0.9848105175147274
3,0.0,"[0.9880409963227909, 0.985864805981101, 0.9849360061057045, 0.9845022091709132, 0.9842876500257173, 0.9841803704531191, 0.9841273940072586, 0.9841009386229543]","[0.9831015626537315, 0.9839159562058926, 0.984047813158026, 0.984073090880521, 0.984073090880521, 0.984073090880521, 0.9840744832386504, 0.9840744832386504]","[9.992280015289272e-05, 4.996140007644636e-05, 2.498070003822318e-05, 1.249035001911159e-05, 6.245175009555795e-06, 3.1225875047778977e-06, 1.5612937523889488e-06, 7.806468761944744e-07]",7.806468761944744e-07,0.9840744832386504
4,0.0,"[0.9907349996325568, 0.9885200821541075, 0.9874774179822348, 0.9869954695061792, 0.9867637377664494, 0.9866517377833462, 0.9865957377917945, 0.9865677377960189]","[0.9862325651979212, 0.9863605329599991, 0.9864956543996539, 0.9865275165004296, 0.9865397378002433, 0.9865397378002433, 0.9865397378002433, 0.9865397378002433]","[9.994036930370277e-05, 4.997018465185138e-05, 2.498509232592569e-05, 1.2492546162962846e-05, 6.246273081481423e-06, 3.1231365407407115e-06, 1.5615682703703557e-06, 7.807841351851779e-07]",7.807841351851779e-07,0.9865397378002433
5,0.0,"[0.990272907047043, 0.9880003035207144, 0.9870050002658923, 0.9865288971466676, 0.9863007011123601, 0.9861888681094403, 0.9861350875626101, 0.9861081972891947]","[0.9849940242761764, 0.9859125404094055, 0.9860299031399519, 0.9860578147765214, 0.986073651841755, 0.9860813070157796, 0.9860813070157796, 0.9860813070157796]","[9.996288914365501e-05, 4.998144457182751e-05, 2.4990722285913753e-05, 1.2495361142956877e-05, 6.247680571478438e-06, 3.123840285739219e-06, 1.5619201428696096e-06, 7.809600714348048e-07]",7.809600714348048e-07,0.9860813070157796
6,0.019999980926513672,"[0.9884382083398281, 0.9860421912823819, 0.9850027606169507, 0.9844896361258687, 0.9842404244291577, 0.9841190887050526, 0.9840588490785898, 0.9840290167848178]","[0.9831818795271013, 0.9839355233775381, 0.9839753848021922, 0.9839843697347884, 0.9839977529809472, 0.9839977529809472, 0.983999184491046, 0.983999184491046]","[9.992705834615092e-05, 4.996352917307546e-05, 2.498176458653773e-05, 1.2490882293268865e-05, 6.245441146634432e-06, 3.122720573317216e-06, 1.561360286658608e-06, 7.80680143329304e-07]",7.80680143329304e-07,0.983999184491046
7,0.014000177383422852,"[0.98954734099518, 0.987336596428647, 0.9863409135103605, 0.9858680147140944, 0.9856358609839728, 0.9855226830064838, 0.9854661312666023, 0.9854378553966605]","[0.984701360022114, 0.9852691684314152, 0.9853666266119006, 0.9854022680734356, 0.9854070055364057, 0.9854095795267201, 0.9854095795267201, 0.9854095795267201]","[9.993065872140301e-05, 4.9965329360701507e-05, 2.4982664680350753e-05, 1.2491332340175377e-05, 6.245666170087688e-06, 3.122833085043844e-06, 1.561416542521922e-06, 7.80708271260961e-07]",7.80708271260961e-07,0.9854095795267201
8,0.023999929428100586,"[0.9877785353759466, 0.9856745549579417, 0.9847529134018047, 0.984326971827888, 0.9841188358362125, 0.9840167775160541, 0.9839665022772981, 0.9839413646579203]","[0.9831002553014825, 0.9837536987623119, 0.9838834097061687, 0.9839062189035073, 0.9839123559948569, 0.9839162270385425, 0.9839162270385425, 0.9839162270385425]","[9.989433911128685e-05, 4.9947169555643426e-05, 2.4973584777821713e-05, 1.2486792388910856e-05, 6.243396194455428e-06, 3.121698097227714e-06, 1.560849048613857e-06, 7.804245243069285e-07]",7.804245243069285e-07,0.9839162270385425
9,0.01399993896484375,"[0.9878859293075969, 0.9854888635480691, 0.9844442912354088, 0.9839529287101498, 0.9837125045118101, 0.9835922924126403, 0.9835321863630556, 0.983502133338263]","[0.982728204456677, 0.9832102836866876, 0.9834436231024594, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708]","[9.992969877734656e-05, 4.996484938867328e-05, 2.498242469433664e-05, 1.249121234716832e-05, 6.24560617358416e-06, 3.12280308679208e-06, 1.56140154339604e-06, 7.8070077169802e-07]",7.8070077169802e-07,0.9834720803134708
10,0.01900005340576172,"[0.990650571506435, 0.9883246986090143, 0.9873463703828628, 0.986873480257466, 0.9866403008786646, 0.9865256409430548, 0.9864688748850238, 0.9864404918560084]","[0.9855759512155842, 0.9862688161894537, 0.9863881365269157, 0.9864071214998633, 0.9864071214998633, 0.9864121088269926, 0.9864121088269926, 0.9864121088269926]","[9.998555676827635e-05, 4.9992778384138176e-05, 2.4996389192069088e-05, 1.2498194596034544e-05, 6.249097298017272e-06, 3.124548649008636e-06, 1.562274324504318e-06, 7.81137162252159e-07]",7.81137162252159e-07,0.9864121088269926
