Instance,Runtime,Optimal_Lambda,Lambdas,Objective_Values
1,0.003999948501586914,4.881075377345788e-07,"[0, 0.0004998221186402087, 0.00024991105932010434, 0.00012495552966005217, 6.247776483002609e-05, 3.123888241501304e-05, 1.561944120750652e-05, 7.80972060375326e-06, 3.90486030187663e-06, 1.952430150938315e-06, 9.762150754691576e-07, 9.762150754691576e-07]","[0.9853773589874752, 0.9893375007382444, 0.987205220676617, 0.9862630940569082, 0.985818774351584, 0.9855968631605326, 0.9854868820374921, 0.9854318914759721, 0.9854045007239979, 0.9853909298557368, 0.985384144421606, 0.985384144421606]"
2,0.014999866485595703,4.882205790291421e-07,"[0, 0.0004999378729258415, 0.00024996893646292076, 0.00012498446823146038, 6.249223411573019e-05, 3.1246117057865095e-05, 1.5623058528932548e-05, 7.811529264466274e-06, 3.905764632233137e-06, 1.9528823161165684e-06, 9.764411580582842e-07, 9.764411580582842e-07]","[0.9848105424296117, 0.9886814533502601, 0.9865952026962126, 0.9856688460171766, 0.985232739876885, 0.9850209387967567, 0.9849157281557419, 0.9848631228352347, 0.9848368201749811, 0.984823668844854, 0.9848170931797908, 0.9848170931797908]"
3,0.0,4.879042976215465e-07,"[0, 0.0004996140007644636, 0.0002498070003822318, 0.0001249035001911159, 6.245175009555795e-05, 3.1225875047778974e-05, 1.5612937523889487e-05, 7.806468761944743e-06, 3.903234380972372e-06, 1.951617190486186e-06, 9.75808595243093e-07, 9.75808595243093e-07]","[0.98407448323865, 0.9878219393250849, 0.9857541208011702, 0.9848811704728673, 0.9844746980823161, 0.9842738721980641, 0.9841734815392924, 0.9841239526564548, 0.9840992179475526, 0.9840868505931013, 0.9840806669158763, 0.9840806669158763]"
4,0.0,4.879900844907362e-07,"[0, 0.0004997018465185139, 0.00024985092325925694, 0.00012492546162962847, 6.246273081481424e-05, 3.123136540740712e-05, 1.561568270370356e-05, 7.80784135185178e-06, 3.90392067592589e-06, 1.951960337962945e-06, 9.759801689814724e-07, 9.759801689814724e-07]","[0.9865397378002433, 0.9905166307022076, 0.9884098519744607, 0.9874224662992512, 0.9869677361435486, 0.9867499083615495, 0.9866448230808962, 0.9865922804405697, 0.9865660091204065, 0.9865528734603249, 0.9865463056302839, 0.9865463056302839]"
5,0.004999876022338867,4.88100044646753e-07,"[0, 0.0004998144457182751, 0.00024990722285913756, 0.00012495361142956878, 6.247680571478439e-05, 3.1238402857392195e-05, 1.5619201428696098e-05, 7.809600714348049e-06, 3.904800357174024e-06, 1.952400178587012e-06, 9.76200089293506e-07, 9.76200089293506e-07]","[0.9860813070157793, 0.9900682330785441, 0.9878971623587062, 0.9869528264431827, 0.986502978763831, 0.9862878058191006, 0.9861823161646492, 0.9861318115902145, 0.9861065593029971, 0.9860939331593885, 0.9860876200875842, 0.9860876200875842]"
6,0.014999866485595703,4.87925089580815e-07,"[0, 0.0004996352917307546, 0.0002498176458653773, 0.00012490882293268865, 6.245441146634432e-05, 3.122720573317216e-05, 1.561360286658608e-05, 7.80680143329304e-06, 3.90340071664652e-06, 1.95170035832326e-06, 9.7585017916163e-07, 9.7585017916163e-07]","[0.9839991844910454, 0.9882043575129724, 0.9859242759829014, 0.9849435650942501, 0.9844601075705463, 0.9842256424120076, 0.9841116976964771, 0.9840551654809834, 0.9840271749860147, 0.9840131797385303, 0.9840061821147877, 0.9840061821147877]"
7,0.0,4.879426695381007e-07,"[0, 0.0004996532936070151, 0.00024982664680350754, 0.00012491332340175377, 6.245666170087688e-05, 3.122833085043844e-05, 1.561416542521922e-05, 7.80708271260961e-06, 3.903541356304805e-06, 1.9517706781524027e-06, 9.758853390762013e-07, 9.758853390762013e-07]","[0.9854095795267203, 0.9893198485658498, 0.9872225776907625, 0.9862839746656455, 0.9858396443603488, 0.9856217318093057, 0.9855156068594662, 0.9854625931930935, 0.9854360863599063, 0.9854228329433137, 0.985416206235017, 0.985416206235017]"
8,0.009999990463256836,4.877653276918303e-07,"[0, 0.0004994716955564342, 0.0002497358477782171, 0.00012486792388910855, 6.243396194455428e-05, 3.121698097227714e-05, 1.560849048613857e-05, 7.804245243069284e-06, 3.902122621534642e-06, 1.951061310767321e-06, 9.755306553836606e-07, 9.755306553836606e-07]","[0.9839162270385425, 0.9875474156476273, 0.9855559643236056, 0.9846927646212316, 0.984296820152525, 0.9841037401990032, 0.984009238278946, 0.9839627326587448, 0.9839394798486436, 0.9839278534435928, 0.9839220402410676, 0.9839220402410676]"
9,0.010999917984008789,4.879379823112625e-07,"[0, 0.0004996484938867328, 0.0002498242469433664, 0.0001249121234716832, 6.24560617358416e-05, 3.12280308679208e-05, 1.56140154339604e-05, 7.8070077169802e-06, 3.9035038584901e-06, 1.95175192924505e-06, 9.75875964622525e-07, 9.75875964622525e-07]","[0.9834720803134706, 0.9876606829331931, 0.9853762955209019, 0.9843882814190037, 0.9839248271804739, 0.9836984537469724, 0.9835852670302218, 0.983528673671846, 0.9835003769926582, 0.9834862286530649, 0.9834791544832676, 0.9834791544832676]"
10,0.01699995994567871,4.882107264075993e-07,"[0, 0.0004999277838413817, 0.00024996389192069086, 0.00012498194596034543, 6.249097298017272e-05, 3.124548649008636e-05, 1.562274324504318e-05, 7.81137162252159e-06, 3.905685811260795e-06, 1.9528429056303973e-06, 9.764214528151987e-07, 9.764214528151987e-07]","[0.9864121088269932, 0.9904331024339345, 0.9882163870009714, 0.987291947364675, 0.986846225524879, 0.9866266735123712, 0.9865188188751796, 0.9864654638510862, 0.9864387863390391, 0.9864254475830161, 0.9864187782050043, 0.9864187782050043]"
