Instance,Runtime,Dual_Bound,Primal_Bound,Lambdas,Optimal_Lambda,Optimal_Value
1,0.0,"[0.5051598474010115, 0.5051598474010115, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010113, 0.5051598474010113, 0.5051598474010113, 0.5051598474010113, 0.5051598474010113, 0.5051598474010113, 0.5051598474010113, 0.5051598474010113, 0.5051598474010113]","[0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114]","[0.40291414960545746, 0.6043712244081862, 0.5036426870068218, 0.45327841830613963, 0.4784605526564807, 0.49105161983165124, 0.4973471534192365, 0.4941993866254439, 0.4957732700223402, 0.49656021172078835, 0.49695368257001243, 0.49715041799462445, 0.49705205028231847, 0.49710123413847146, 0.497125826066548, 0.4971381220305862, 0.4971442700126053, 0.4971473440036149, 0.4971488809991197, 0.49714964949687207]",0.49714964949687207,0.5051598474010114
2,0.0009999275207519531,"[0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.6657779099626853, 0.6657779099626853, 0.6657779099626853, 0.6657779099626853]","[0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497]","[0.4553534309526569, 0.6830301464289854, 0.5691917886908211, 0.6261109675599033, 0.6545705569944443, 0.6688003517117149, 0.6616854543530797, 0.6652429030323973, 0.6670216273720562, 0.6661322652022268, 0.665687584117312, 0.6659099246597694, 0.6657987543885406, 0.6657431692529263, 0.6657709618207335, 0.6657848581046371, 0.6657779099626853, 0.6657744358917094, 0.6657761729271974, 0.6657770414449413]",0.6657770414449413,0.665778022248497
3,0.0,"[0.5860772381431257, 0.5860772381431257, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256]","[0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256]","[0.40635838571974753, 0.6095375785796213, 0.5079479821496844, 0.5587427803646529, 0.584140179472137, 0.5968388790258792, 0.5904895292490081, 0.5873148543605726, 0.5857275169163548, 0.5865211856384638, 0.5861243512774093, 0.5859259340968821, 0.5860251426871457, 0.5859755383920139, 0.5860003405395797, 0.5860127416133627, 0.5860189421502542, 0.5860220424186999, 0.5860235925529228, 0.5860243676200343]",0.5860243676200343,0.5860772381431256
4,0.0,"[0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002099231554842, 0.5002099231554842, 0.5002099231554842]","[0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905]","[0.3875255787914747, 0.5812883681872121, 0.48440697348934336, 0.5328476708382777, 0.5086273221638105, 0.4965171478265769, 0.5025722349951937, 0.4995446914108853, 0.5010584632030395, 0.5003015773069623, 0.4999231343589238, 0.5001123558329431, 0.5002069665699527, 0.5002542719384575, 0.5002306192542051, 0.5002187929120789, 0.5002128797410158, 0.5002099231554842, 0.5002084448627184, 0.5002091840091013]",0.5002091840091013,0.5002104764686905
5,0.0,"[0.6586802409086171, 0.6586802409086171, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368078307006915, 0.6368078307006915, 0.6368078307006915]","[-inf, 0.0, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169]","[0.47488223472022895, 0.7123233520803434, 0.5936027934002861, 0.6529630727403147, 0.6232829330703005, 0.6381230029053075, 0.630702967987804, 0.6344129854465558, 0.6362679941759317, 0.6371954985406196, 0.6367317463582757, 0.6369636224494477, 0.6368476844038617, 0.6367897153810687, 0.6368186998924652, 0.6368042076367669, 0.6368114537646161, 0.6368078307006915, 0.6368060191687293, 0.6368069249347104]",0.6368069249347104,0.6368081973935169
6,0.0,"[0.6415770951165337, 0.6415770951165337, 0.6210783774777011, 0.6210783774777011, 0.6159536980679932, 0.6159536980679932, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.6157113855237202]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684]","[0.4618877151344487, 0.6928315727016731, 0.5773596439180608, 0.6350956083098669, 0.6062276261139639, 0.6206616172119154, 0.6134446216629397, 0.6170531194374276, 0.6152488705501836, 0.6161509949938055, 0.6156999327719945, 0.6159254638829, 0.6158126983274472, 0.6157563155497209, 0.6157281241608576, 0.6157140284664261, 0.6157069806192104, 0.6157105045428182, 0.6157122665046222, 0.6157113855237202]",0.6157113855237202,0.615711695902684
7,0.0,"[0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566]","[0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567]","[0.4293663793834116, 0.6440495690751173, 0.5367079742292644, 0.5903787716521909, 0.6172141703636541, 0.6037964710079224, 0.6105053206857882, 0.6138597455247212, 0.6121825331052547, 0.6113439268955214, 0.6117632300003881, 0.6119728815528214, 0.612077707329038, 0.6121301202171463, 0.6121563266612005, 0.6121694298832276, 0.6121759814942411, 0.6121727056887344, 0.6121743435914877, 0.6121751625428644]",0.6121751625428644,0.6167270302351567
8,0.0009999275207519531,"[0.5960541900076042, 0.5960541900076042, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752]","[-inf, 0.0, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752]","[0.4572866731407624, 0.6859300097111436, 0.571608341425953, 0.6287691755685483, 0.6001887584972506, 0.5858985499616018, 0.5930436542294262, 0.589471102095514, 0.5876848260285579, 0.5885779640620359, 0.5881313950452969, 0.5883546795536664, 0.5882430372994816, 0.5881872161723892, 0.588159305608843, 0.5881453503270699, 0.5881523279679565, 0.5881558167883998, 0.5881540723781782, 0.588154944583289]",0.588154944583289,0.5881676473285752
9,0.0,"[0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072]","[0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205]","[0.4357673141505831, 0.6536509712258747, 0.5447091426882289, 0.490238228419406, 0.46300277128499456, 0.4766204998522003, 0.4698116355685974, 0.466407203426796, 0.4681094194976967, 0.46896052753314704, 0.46853497351542184, 0.4687477505242844, 0.46885413902871576, 0.4688009447765001, 0.4688275419026079, 0.4688408404656618, 0.46883419118413483, 0.4688375158248983, 0.4688391781452801, 0.468840009305471]",0.468840009305471,0.48755645885707205
10,0.0,"[0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437]","[0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438]","[0.43460056416631954, 0.6519008462494793, 0.5432507052078994, 0.5975757757286894, 0.6247383109890843, 0.6111570433588869, 0.6043664095437882, 0.6077617264513375, 0.6060640679975628, 0.6069128972244502, 0.6073373118378939, 0.6075495191446156, 0.6076556227979766, 0.6076025709712961, 0.6076290968846363, 0.6076158339279663, 0.6076224654063013, 0.6076257811454688, 0.6076274390150526, 0.6076282679498444]",0.6076282679498444,0.6100996397043438
