Instance,Runtime,Optimal_Lambda,Lambdas,Objective_Values
1,0.0,3.0739910095631214e-07,"[0, 0.040291414960545745, 0.020145707480272872, 0.010072853740136436, 0.005036426870068218, 0.002518213435034109, 0.0012591067175170545, 0.0006295533587585273, 0.00031477667937926363, 0.00015738833968963182, 7.869416984481591e-05, 3.9347084922407954e-05, 1.9673542461203977e-05, 9.836771230601988e-06, 4.918385615300994e-06, 2.459192807650497e-06, 1.2295964038252486e-06, 6.147982019126243e-07, 6.147982019126243e-07]","[0.6198641481852656, 0.6715180884253312, 0.6456911183052985, 0.6327776332452819, 0.6263208907152737, 0.6230925194502697, 0.6214783338177676, 0.6206712410015166, 0.6202676945933909, 0.6200659213893283, 0.6199650347872969, 0.6199145914862811, 0.6198893698357734, 0.6198767590105194, 0.6198704535978925, 0.619867300891579, 0.6198657245384223, 0.6198649363618439, 0.6198649363618439]"
2,0.0,3.474070975896125e-07,"[0, 0.04553534309526569, 0.022767671547632845, 0.011383835773816423, 0.005691917886908211, 0.0028459589434541056, 0.0014229794717270528, 0.0007114897358635264, 0.0003557448679317632, 0.0001778724339658816, 8.89362169829408e-05, 4.44681084914704e-05, 2.22340542457352e-05, 1.11170271228676e-05, 5.5585135614338e-06, 2.7792567807169e-06, 1.38962839035845e-06, 6.94814195179225e-07, 6.94814195179225e-07]","[0.665778022248497, 0.7759960000940646, 0.7208870111712808, 0.6933325167098888, 0.679555269479193, 0.672666645863845, 0.6692223340561709, 0.6675001781523341, 0.6666391002004155, 0.6662085612244563, 0.6659932917364767, 0.6658856569924868, 0.665831839620492, 0.6658049309344944, 0.6657914765914957, 0.6657847494199964, 0.6657813858342467, 0.6657797040413719, 0.6657797040413719]"
3,0.0,3.10026844573782e-07,"[0, 0.04063583857197475, 0.020317919285987376, 0.010158959642993688, 0.005079479821496844, 0.002539739910748422, 0.001269869955374211, 0.0006349349776871055, 0.00031746748884355276, 0.00015873374442177638, 7.936687221088819e-05, 3.9683436105444095e-05, 1.9841718052722047e-05, 9.920859026361024e-06, 4.960429513180512e-06, 2.480214756590256e-06, 1.240107378295128e-06, 6.20053689147564e-07, 6.20053689147564e-07]","[0.6339946629735003, 0.6938116257379254, 0.6639031443557128, 0.6489489036646066, 0.6414717833190534, 0.6377332231462769, 0.6358639430598886, 0.6349293030166945, 0.6344619829950974, 0.6342283229842988, 0.6341114929788996, 0.6340530779761999, 0.6340238704748501, 0.6340092667241752, 0.6340019648488378, 0.633998313911169, 0.6339964884423346, 0.6339955757079175, 0.6339955757079175]"
4,0.0,2.956585531551168e-07,"[0, 0.03875255787914747, 0.019376278939573735, 0.009688139469786868, 0.004844069734893434, 0.002422034867446717, 0.0012110174337233584, 0.0006055087168616792, 0.0003027543584308396, 0.0001513771792154198, 7.56885896077099e-05, 3.784429480385495e-05, 1.8922147401927476e-05, 9.461073700963738e-06, 4.730536850481869e-06, 2.3652684252409345e-06, 1.1826342126204672e-06, 5.913171063102336e-07, 5.913171063102336e-07]","[0.5381948907172824, 0.6238887829701071, 0.5683353052900331, 0.5510066985430342, 0.5446007946301583, 0.5413978426737205, 0.5397963666955014, 0.538995628706392, 0.5385952597118372, 0.5383950752145599, 0.5382949829659212, 0.5382449368416018, 0.5382199137794422, 0.5382074022483623, 0.5382011464828225, 0.5381980186000523, 0.5381964546586674, 0.5381956726879749, 0.5381956726879749]"
5,0.0,3.6230639245622937e-07,"[0, 0.047488223472022896, 0.023744111736011448, 0.011872055868005724, 0.005936027934002862, 0.002968013967001431, 0.0014840069835007155, 0.0007420034917503578, 0.0003710017458751789, 0.00018550087293758944, 9.275043646879472e-05, 4.637521823439736e-05, 2.318760911719868e-05, 1.159380455859934e-05, 5.79690227929967e-06, 2.898451139649835e-06, 1.4492255698249175e-06, 7.246127849124587e-07, 7.246127849124587e-07]","[0.7980489581846234, 0.8480287602972868, 0.8230388592409552, 0.8105439087127893, 0.8042964334487064, 0.801172695816665, 0.7996108270006441, 0.7988298925926338, 0.7984394253886287, 0.7982441917866261, 0.7981465749856247, 0.7980977665851241, 0.7980733623848738, 0.7980611602847486, 0.798055059234686, 0.7980520087096548, 0.798050483447139, 0.7980497208158812, 0.7980497208158812]"
6,0.0,3.523923607898321e-07,"[0, 0.04618877151344487, 0.023094385756722437, 0.011547192878361218, 0.005773596439180609, 0.0028867982195903046, 0.0014433991097951523, 0.0007216995548975761, 0.0003608497774487881, 0.00018042488872439404, 9.021244436219702e-05, 4.510622218109851e-05, 2.2553111090549255e-05, 1.1276555545274627e-05, 5.638277772637314e-06, 2.819138886318657e-06, 1.4095694431593284e-06, 7.047847215796642e-07, 7.047847215796642e-07]","[0.7597182927148285, 0.8061076343975953, 0.7829129635562118, 0.77131562813552, 0.7655169604251744, 0.7626176265700013, 0.7611679596424149, 0.7604431261786215, 0.760080709446725, 0.7598995010807768, 0.7598088968978025, 0.7597635948063155, 0.7597409437605718, 0.7597296182377002, 0.7597239554762643, 0.7597211240955464, 0.7597197084051874, 0.7597190005600079, 0.7597190005600079]"
7,0.0,3.2758055067704133e-07,"[0, 0.04293663793834116, 0.02146831896917058, 0.01073415948458529, 0.005367079742292645, 0.0026835398711463226, 0.0013417699355731613, 0.0006708849677865806, 0.0003354424838932903, 0.00016772124194664516, 8.386062097332258e-05, 4.193031048666129e-05, 2.0965155243330645e-05, 1.0482577621665323e-05, 5.241288810832661e-06, 2.6206444054163307e-06, 1.3103222027081653e-06, 6.551611013540827e-07, 6.551611013540827e-07]","[0.6923272582228941, 0.7455180955261772, 0.7189226768745357, 0.705624967548715, 0.6989761128858045, 0.6956516855543494, 0.6939894718886218, 0.693158365055758, 0.6927428116393262, 0.6925350349311101, 0.6924311465770021, 0.6923792023999481, 0.6923532303114213, 0.6923402442671578, 0.6923337512450258, 0.69233050473396, 0.6923288814784272, 0.6923280698506606, 0.6923280698506606]"
8,0.0,3.488820443273639e-07,"[0, 0.04572866731407624, 0.02286433365703812, 0.01143216682851906, 0.00571608341425953, 0.002858041707129765, 0.0014290208535648824, 0.0007145104267824412, 0.0003572552133912206, 0.0001786276066956103, 8.931380334780515e-05, 4.4656901673902576e-05, 2.2328450836951288e-05, 1.1164225418475644e-05, 5.582112709237822e-06, 2.791056354618911e-06, 1.3955281773094555e-06, 6.977640886547278e-07, 6.977640886547278e-07]","[0.7239474548707281, 0.7743053549448813, 0.7491264049078046, 0.7365369298892664, 0.7302421923799972, 0.7270948236253627, 0.7255211392480454, 0.7247342970593866, 0.7243408759650574, 0.7241441654178927, 0.7240458101443105, 0.7239966325075192, 0.7239720436891237, 0.7239597492799259, 0.7239536020753269, 0.7239505284730274, 0.7239489916718778, 0.7239482232713028, 0.7239482232713028]"
9,0.0,3.32464076347796e-07,"[0, 0.043576731415058315, 0.021788365707529157, 0.010894182853764579, 0.005447091426882289, 0.0027235457134411447, 0.0013617728567205723, 0.0006808864283602862, 0.0003404432141801431, 0.00017022160709007154, 8.511080354503577e-05, 4.2555401772517885e-05, 2.1277700886258943e-05, 1.0638850443129471e-05, 5.319425221564736e-06, 2.659712610782368e-06, 1.329856305391184e-06, 6.64928152695592e-07, 6.64928152695592e-07]","[0.6082532031399059, 0.6918984510581974, 0.6458652957892013, 0.6228487181547031, 0.6134912827554636, 0.6108722429476847, 0.6095627230437953, 0.6089079630918507, 0.6085805831158784, 0.6084168931278922, 0.608335048133899, 0.6082941256369025, 0.6082736643884042, 0.6082634337641553, 0.6082583184520306, 0.6082557607959683, 0.6082544819679371, 0.6082538425539215, 0.6082538425539215]"
10,0.0,3.315739167528683e-07,"[0, 0.043460056416631955, 0.021730028208315978, 0.010865014104157989, 0.005432507052078994, 0.002716253526039497, 0.0013581267630197486, 0.0006790633815098743, 0.00033953169075493715, 0.00016976584537746857, 8.488292268873429e-05, 4.2441461344367144e-05, 2.1220730672183572e-05, 1.0610365336091786e-05, 5.305182668045893e-06, 2.6525913340229465e-06, 1.3262956670114732e-06, 6.631478335057366e-07, 6.631478335057366e-07]","[0.6582189977831391, 0.7281364981965388, 0.693177747989839, 0.6756983728864889, 0.6669586853348141, 0.6625888415589766, 0.6604039196710578, 0.6593114587270984, 0.6587652282551189, 0.6584921130191289, 0.658355555401134, 0.6582872765921365, 0.6582531371876378, 0.6582360674853884, 0.6582275326342638, 0.6582232652087014, 0.6582211314959203, 0.6582200646395296, 0.6582200646395296]"
