Instance,Runtime,Optimal_Value
1,0.003000020980834961,4.881075377345788e-07
2,0.01699995994567871,4.882205790291421e-07
3,0.01699995994567871,4.879042976215465e-07
4,0.01699995994567871,4.879900844907362e-07
5,0.018999814987182617,4.88100044646753e-07
6,0.006000041961669922,4.87925089580815e-07
7,0.01699995994567871,4.879426695381007e-07
8,0.0,4.877653276918303e-07
9,0.0,4.879379823112625e-07
10,0.014999866485595703,4.882107264075993e-07
11,0.016000032424926758,4.882701602321133e-07
12,0.01699995994567871,4.88021186225583e-07
13,0.01699995994567871,4.882143376132574e-07
14,0.01699995994567871,4.880045193414859e-07
15,0.017999887466430664,4.881128260952336e-07
16,0.01699995994567871,4.882390448827672e-07
17,0.0,4.881088903660929e-07
18,0.015000104904174805,4.880645974970081e-07
19,0.016000032424926758,4.882341684009954e-07
20,0.002000093460083008,4.882474114276579e-07
21,0.01699995994567871,4.879299680343191e-07
22,0.0,4.881687911055595e-07
23,0.016000032424926758,4.880215248429481e-07
24,0.0,4.879305729139942e-07
25,0.016000032424926758,4.877866379960486e-07
26,0.015999794006347656,4.880632042284938e-07
27,0.016000032424926758,4.880923031023401e-07
28,0.017000198364257812,4.882114985924623e-07
29,0.0,4.882317215870697e-07
30,0.0,4.881150064533486e-07
31,0.0,4.881573332462726e-07
32,0.0,4.881311556763531e-07
33,0.016000032424926758,4.878608996011241e-07
34,0.02500009536743164,4.88012430473104e-07
35,0.016000032424926758,4.881673594990408e-07
36,0.012000083923339844,4.881382418998919e-07
37,0.015999794006347656,4.882079853266559e-07
38,0.015000104904174805,4.879349317369122e-07
39,0.010999917984008789,4.880196322633126e-07
40,0.015000104904174805,4.882440080074129e-07
41,0.0019998550415039062,4.882157931618396e-07
42,0.016000032424926758,4.881534894914182e-07
43,0.0,4.878639823657071e-07
44,0.01699995994567871,4.882437214438469e-07
45,0.01699995994567871,4.882584867377829e-07
46,0.009000062942504883,4.882701246777039e-07
47,0.01699995994567871,4.878434191609482e-07
48,0.015999794006347656,4.878354108021789e-07
49,0.016000032424926758,4.880863262667957e-07
50,0.017999887466430664,4.879597383939508e-07
51,0.017000198364257812,4.882161421580097e-07
52,0.019999980926513672,4.881567181633136e-07
53,0.01699995994567871,4.881960772382528e-07
54,0.01699995994567871,4.881865840704041e-07
55,0.016000032424926758,4.878480810686223e-07
56,0.017000198364257812,4.881911118110836e-07
57,0.11700010299682617,4.880740785818084e-07
58,0.02500009536743164,4.878476464495378e-07
59,0.016000032424926758,4.879493284574636e-07
60,0.0,4.880427675123133e-07
61,0.0009999275207519531,4.881498767843649e-07
62,0.010999917984008789,4.881212651627189e-07
63,0.017000198364257812,4.880754013350108e-07
64,0.016000032424926758,4.87967646681464e-07
65,0.015999794006347656,4.88006837238016e-07
66,0.01699995994567871,4.880064034450054e-07
67,0.0,4.880592821298522e-07
68,0.0,4.879974435352327e-07
69,0.0,4.882261901036025e-07
70,0.012000083923339844,4.879894420617733e-07
71,0.016000032424926758,4.879858763905816e-07
72,0.0019998550415039062,4.880628474088139e-07
73,0.0010001659393310547,4.881152142656258e-07
74,0.016000032424926758,4.881928131164582e-07
75,0.0009999275207519531,4.881988104301111e-07
76,0.01100015640258789,4.879772132385857e-07
77,0.0,4.88167613772383e-07
78,0.016000032424926758,4.881859836208713e-07
79,0.017000198364257812,4.880405976190617e-07
80,0.0,4.881688054347371e-07
81,0.016000032424926758,4.881246068742317e-07
82,0.01699995994567871,4.88196153393087e-07
83,0.015000104904174805,4.882544687817952e-07
84,0.0,4.881013670283697e-07
85,0.015999794006347656,4.880823523610856e-07
86,0.017000198364257812,4.881251510079937e-07
87,0.01699995994567871,4.881843226160678e-07
88,0.003999948501586914,4.881375311406189e-07
89,0.0,4.880879157580761e-07
90,0.016000032424926758,4.882033347076656e-07
91,0.016000032424926758,4.882228128000217e-07
92,0.016000032424926758,4.882189370793463e-07
93,0.01699995994567871,4.882288994299051e-07
94,0.006999969482421875,4.880538917563609e-07
95,0.01699995994567871,4.88179674467693e-07
96,0.0,4.879639917335633e-07
97,0.016000032424926758,4.88069303904965e-07
98,0.01699995994567871,4.88222700388995e-07
99,0.01100015640258789,4.880446291281121e-07
100,0.01699995994567871,4.882090388897376e-07
