Instance,Runtime,K,Optimal_Value
1,"{1: 0.010999917984008789, 2: 0.013000011444091797, 5: 0.0010001659393310547, 10: 0.003000020980834961}",3,"{1: 0.5051598474010114, 2: 0.586121203824268, 5: 0.6198641481852656, 10: 0.6198641481852656}"
2,"{1: 0.0010001659393310547, 2: 0.0009999275207519531, 5: 0.002000093460083008, 10: 0.002000093460083008}",1,"{1: 0.665778022248497, 2: 0.665778022248497, 5: 0.665778022248497, 10: 0.665778022248497}"
3,"{1: 0.009999990463256836, 2: 0.0010001659393310547, 5: 0.0010001659393310547, 10: 0.002000093460083008}",2,"{1: 0.5860772381431256, 2: 0.6339946629735003, 5: 0.6339946629735003, 10: 0.6339946629735003}"
4,"{1: 0.003999948501586914, 2: 0.004999876022338867, 5: 0.0009999275207519531, 10: 0.005000114440917969}",3,"{1: 0.5002104764686907, 2: 0.5312540778442186, 5: 0.5381948907172824, 10: 0.5381948907172824}"
5,"{1: 0.005000114440917969, 2: 0.006999969482421875, 5: 0.002000093460083008, 10: 0.003000020980834961}",3,"{1: 0.6368081973935169, 2: 0.7524656326428268, 5: 0.7980489581846234, 10: 0.7980489581846234}"
6,"{1: 0.009000062942504883, 2: 0.01399993896484375, 5: 0.0019998550415039062, 10: 0.0009999275207519531}",3,"{1: 0.615711695902684, 2: 0.723571965671864, 5: 0.7597182927148285, 10: 0.7597182927148285}"
7,"{1: 0.00800013542175293, 2: 0.009999990463256836, 5: 0.003000020980834961, 10: 0.0019998550415039062}",3,"{1: 0.6167270302351567, 2: 0.6638133157126076, 5: 0.6923272582228941, 10: 0.6923272582228941}"
8,"{1: 0.01399993896484375, 2: 0.01399993896484375, 5: 0.003000020980834961, 10: 0.0019998550415039062}",3,"{1: 0.5881676473285752, 2: 0.692597066675673, 5: 0.7239474548707281, 10: 0.7239474548707281}"
9,"{1: 0.021000146865844727, 2: 0.009999990463256836, 5: 0.003000020980834961, 10: 0.003000020980834961}",4,"{1: 0.48755645885707216, 2: 0.5998321405202052, 5: 0.608253203139906, 10: 0.608253203139906}"
10,"{1: 0.006000041961669922, 2: 0.012999773025512695, 5: 0.006000041961669922, 10: 0.002000093460083008}",2,"{1: 0.6100996397043438, 2: 0.6582189977831391, 5: 0.6582189977831391, 10: 0.6582189977831391}"
