Instance,Runtime,Dual_Bound,Primal_Bound,Lamda,Optimal_Value
1,0.0,"[0.5861212038242681, 0.5861212038242681, 0.5861212038242681, 0.5861212038242681, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268]","[0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268, 0.586121203824268]","[0.20145707480272873, 0.3021856122040931, 0.2518213435034109, 0.22663920915306981, 0.2140481419778993, 0.22034367556548456, 0.21719590877169193, 0.2156220253747956, 0.21640896707324375, 0.21680243792246784, 0.21699917334707988, 0.21690080563477387, 0.21694998949092686, 0.2169745814190034, 0.21696228545496513, 0.21696843343698424]",0.586121203824268
2,0.0,"[0.7270102321627012, 0.6963941272055991, 0.6810860747270481, 0.6734320484877726, 0.6696050353681348, 0.6676915288083158, 0.6667347755284064, 0.6662563988884517, 0.6660172105684744, 0.6658976164084858, 0.6658378193284913, 0.6658079207884942, 0.6657929715184956, 0.6657854968834963, 0.6657817595659967, 0.6657798909072469]","[0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497]","[0.22767671547632845, 0.11383835773816423, 0.05691917886908211, 0.028459589434541056, 0.014229794717270528, 0.007114897358635264, 0.003557448679317632, 0.001778724339658816, 0.000889362169829408, 0.000444681084914704, 0.000222340542457352, 0.000111170271228676, 5.5585135614338e-05, 2.7792567807169e-05, 1.38962839035845e-05, 6.94814195179225e-06]",0.665778022248497
3,0.0,"[0.6427371214672181, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003]","[0.5860772381431256, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003]","[0.20317919285987376, 0.10158959642993688, 0.15238439464490533, 0.17778179375238956, 0.16508309419864745, 0.1714324439755185, 0.17460711886395403, 0.17301978141973626, 0.1722261126976274, 0.17182927833657294, 0.1716308611560457, 0.17173006974630933, 0.17177967404144112, 0.17175487189387523, 0.17176727296765817, 0.17177347350454963]",0.6339946629735003
4,0.0009999275207519531,"[0.5689206467472553, 0.534565561607973, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186]","[0.5002104764686905, 0.5002104764686905, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186, 0.5312540778442186]","[0.19376278939573735, 0.09688139469786868, 0.04844069734893434, 0.07266104602340151, 0.06055087168616792, 0.06660595885478471, 0.06963350243909311, 0.07114727423124731, 0.07190416012732441, 0.07228260307536297, 0.07209338160134368, 0.07218799233835332, 0.0721406869698485, 0.0721643396541009, 0.07217616599622712, 0.07218207916729022]",0.5312540778442186
5,0.0009999275207519531,"[0.762349099532721, 0.752465632642827, 0.752465632642827, 0.752465632642827, 0.752465632642827, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428267, 0.7524656326428267]","[-inf, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268, 0.7524656326428268]","[0.23744111736011447, 0.3561616760401717, 0.4155219553802003, 0.385841815710186, 0.37100174587517887, 0.3635817109576753, 0.3672917284164271, 0.369146737145803, 0.37007424151049095, 0.369610489328147, 0.36937861323697496, 0.369262675191389, 0.369204706168596, 0.3691757216571995, 0.36919021391289775, 0.3691829677850486]",0.7524656326428268
6,0.0,"[0.7265830486557092, 0.7265830486557092, 0.7235719656718641, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864]","[-inf, 0.6129795123807871, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864, 0.723571965671864]","[0.23094385756722435, 0.34641578635083653, 0.2886798219590304, 0.31754780415493344, 0.33198179525288496, 0.3247647997039092, 0.32115630192942135, 0.3229605508166653, 0.3238626752602872, 0.32431373748209824, 0.32453926859300375, 0.32465203414845645, 0.3247084169261828, 0.324736608315046, 0.3247507040094776, 0.3247577518566934]",0.723571965671864
7,0.0,"[0.6772284623680734, 0.6733305306145787, 0.6638321668104211, 0.6638321668104211, 0.6638321668104211, 0.6638321668104211, 0.6638133157126077, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076]","[0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076, 0.6638133157126076]","[0.2146831896917058, 0.1073415948458529, 0.16101239226877934, 0.18784779098024257, 0.17443009162451095, 0.16772124194664514, 0.16436681710771223, 0.16604402952717867, 0.16688263573691192, 0.16730193884177852, 0.16709228728934522, 0.16698746151312857, 0.1670398744012369, 0.16701366795718275, 0.16702677117920983, 0.16703332279022337]",0.6638133157126076
8,0.0,"[0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673]","[0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673, 0.692597066675673]","[0.2286433365703812, 0.1143216682851906, 0.1714825024277859, 0.20006291949908356, 0.18577271096343473, 0.19291781523125914, 0.19649036736517134, 0.19827664343212745, 0.1991697814656055, 0.19961635048234452, 0.19983963499071405, 0.1999512772448988, 0.19989545611780643, 0.19992336668135263, 0.19993732196312572, 0.19994429960401228]",0.692597066675673
9,0.0,"[0.5998321405202052, 0.5998321405202052, 0.5998321405202052, 0.5998321405202052, 0.5998321405202052, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051]","[0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.5998321405202051]","[0.21788365707529156, 0.32682548561293734, 0.27235457134411445, 0.2995900284785259, 0.28597229991132017, 0.29278116419492306, 0.28937673205312164, 0.29107894812402235, 0.2919300561594727, 0.2923556101771979, 0.2925683871860605, 0.2926747756904918, 0.29272796994270744, 0.29275456706881525, 0.2927412685057613, 0.2927346192242344]",0.5998321405202051
10,0.0010001659393310547,"[0.6748750118614176, 0.6582189977831392, 0.6582189977831392, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.658218997783139, 0.658218997783139, 0.658218997783139, 0.658218997783139, 0.658218997783139, 0.658218997783139, 0.658218997783139, 0.658218997783139, 0.658218997783139]","[0.6100996397043438, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391]","[0.21730028208315977, 0.10865014104157988, 0.16297521156236983, 0.13581267630197486, 0.14939394393217234, 0.15618457774727107, 0.15957989465482045, 0.16127755310859515, 0.1604287238817078, 0.16085313849515148, 0.16106534580187332, 0.16117144945523423, 0.16122450128191468, 0.16119797536857444, 0.16121123832524456, 0.16120460684690952]",0.6582189977831391
